City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
488,Coquimbo,CL,55.4,overcast clouds,-29.95,-71.34,Hotel San Juan
492,Oskemen,KZ,44.6,mist,49.96,82.61,Dedeman Oskemen Tavros Hotel
495,Markova,UA,64.49,clear sky,48.68,24.41,Kempinh
496,Inverurie,GB,48.2,overcast clouds,57.28,-2.38,The Kintore Arms Hotel
497,Macusani,PE,39.34,few clouds,-14.08,-70.43,"Hospedaje ""Arca de Noe"""
499,Joshimath,IN,62.13,few clouds,30.57,79.57,Shivalik Camps & Resort
504,Jiayuguan,CN,58.14,clear sky,39.82,98.3,Jiugang Hotel - Jiayuguan
507,Hagere Selam,ET,49.12,overcast clouds,6.48,38.52,Tigist Fire Pension
508,Vaasa,FI,53.01,broken clouds,63.1,21.62,Hotel Astor
510,Bereda,ES,52.0,few clouds,43.27,-7.54,Pazo de Verdes
511,Albury,AU,51.01,few clouds,-36.08,146.92,Albury Georgian Motel & Suites
512,Whakatane,NZ,64.0,broken clouds,-37.96,176.99,Pacific Coast Motel
523,Sitka,US,57.2,broken clouds,57.05,-135.33,Westmark Sitka
526,Langa,DK,55.0,broken clouds,56.39,9.89,Hotel & Restaurant Fru Larsen
528,De-Kastri,RU,59.52,clear sky,51.47,140.78,Somon Hotel
534,Burnie,AU,60.01,broken clouds,-41.07,145.92,Beachfront Voyager Motor Inn
542,Veldhoven,NL,55.0,mist,51.42,5.4,Hotel NH Eindhoven Conference Centre Koningshof
545,Deputatskiy,RU,37.83,overcast clouds,69.3,139.9,Baza Otdykha
552,Naryan-Mar,RU,40.62,broken clouds,67.67,53.09,Hostel Agat
559,Smiltene,LV,59.0,overcast clouds,57.42,25.9,Kalna Ligzda
565,Mount Gambier,AU,53.6,light intensity shower rain,-37.83,140.77,Commodore on the Park
567,Kingaroy,AU,60.8,overcast clouds,-26.53,151.83,Ascot Motel Kingaroy
580,Ranghulu,CN,63.95,overcast clouds,46.65,124.87,Jinjiang Inn
583,Kholmogory,RU,53.6,overcast clouds,64.22,41.66,Гостевая комната
586,Zheleznodorozhnyy,RU,59.0,light rain,55.75,38.0,Hotel Dali
593,Zhangye,CN,58.78,overcast clouds,38.93,100.45,Zhangye Lvzhou Holiday Inn
594,Tuatapere,NZ,57.09,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
595,Baruun-Urt,MN,52.74,overcast clouds,46.68,113.28,Ахмадын амралт сувилал
601,Valladolid,ES,52.0,scattered clouds,41.58,-4.67,Hotel Ruta del Duero
604,Orissaare,EE,62.01,few clouds,58.56,23.08,Hostel Pritsukas
614,Batsfjord,NO,47.64,broken clouds,70.63,29.72,Adventure Apartements
622,Havre-Saint-Pierre,CA,48.2,broken clouds,50.23,-63.6,Auberge Niapiskau
626,Ucluelet,CA,64.99,few clouds,48.93,-125.55,Black Rock Oceanfront Resort
635,Chantada,ES,51.01,clear sky,42.61,-7.77,Mogay
636,Kitui,KE,62.35,scattered clouds,-1.37,38.01,Heritage Bliss Hotel
639,Karlskrona,SE,50.0,fog,56.16,15.59,First Hotel Statt
640,Knysna,ZA,42.8,light rain,-34.04,23.05,Protea Hotel by Marriott Knysna Quays
649,Rokiskis,LT,58.06,overcast clouds,55.97,25.58,"Pagunda, viesbutis, Darola"
651,Goleniow,PL,57.0,overcast clouds,53.56,14.83,CJK Hostels
654,Raudeberg,NO,51.01,broken clouds,61.99,5.14,Nordre Silda.
656,Oksfjord,NO,50.0,broken clouds,70.24,22.35,Bobo
660,Evreux,FR,55.0,overcast clouds,49.02,1.15,Hôtel Kyriad Evreux Netreville
668,Lukovetskiy,RU,53.6,overcast clouds,64.3,41.92,Gostinitsa
669,Rafaela,AR,55.99,overcast clouds,-31.25,-61.49,Parra Hotel & Suites
672,Nelson Bay,AU,64.99,clear sky,-32.72,152.15,Mantra Nelson Bay
673,Atasu,KZ,60.22,clear sky,48.68,71.64,Dostyk
674,Cap-Aux-Meules,CA,59.0,moderate rain,47.38,-61.86,Auberge Madeli
676,Koster,ZA,42.12,broken clouds,-25.86,26.9,Klub Kranskuil
686,Kalachinsk,RU,59.05,scattered clouds,55.05,74.58,"Voskhod, Hotel"
696,Atikokan,CA,60.91,scattered clouds,48.76,-91.62,Camp Quetico
697,Anadyr,RU,50.0,overcast clouds,64.75,177.48,"Гостиница ""Анадырь"""
698,Setermoen,NO,44.6,overcast clouds,68.86,18.35,Room4You
702,Nyurba,RU,54.75,overcast clouds,63.28,118.33,Gostinitsa Alrosa
707,Matagami,CA,55.4,moderate rain,49.75,-77.63,Hôtel Matagami
708,Novaya Lyalya,RU,58.75,overcast clouds,59.05,60.6,Taezhnaya Ros'
709,Warrington,GB,50.0,scattered clouds,53.39,-2.58,Villaggio Hotel
711,Terrak,NO,46.4,few clouds,65.09,12.37,Terråk Gjestegård
713,Olden,NO,48.99,light rain,61.84,6.81,Nesset Fjordcamping Olden
714,Uyuni,BO,48.74,clear sky,-20.46,-66.83,Hostal La Magia de Uyuni
715,Mackenzie,CA,57.2,broken clouds,55.3,-123.17,Hilton Shop
717,Carballo,ES,59.0,few clouds,43.21,-8.69,Pazo do Souto
721,Cootamundra,AU,56.35,clear sky,-34.65,148.03,Cootamundra Gardens Motel
