City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
496,Inverurie,GB,57.28,-2.38,48.2,87,91,10.29,overcast clouds
497,Macusani,PE,-14.08,-70.43,39.34,75,22,4.9,few clouds
498,Muzhi,RU,65.37,64.67,47.26,68,100,7.87,overcast clouds
499,Joshimath,IN,30.57,79.57,62.13,54,24,1.57,few clouds
500,Poum,NC,-20.23,164.02,70.16,69,81,15.55,moderate rain
501,Staryy Nadym,RU,65.61,72.68,42.04,86,100,6.73,overcast clouds
502,Phan Thiet,VN,10.93,108.1,80.67,82,42,6.62,scattered clouds
503,Sangar,RU,63.92,127.47,54.23,57,100,15.84,overcast clouds
504,Jiayuguan,CN,39.82,98.3,58.14,46,0,3.33,clear sky
505,Malakal,SS,9.53,31.66,70.99,93,95,1.81,overcast clouds
506,Lavrentiya,RU,65.58,-171.0,50.05,62,12,10.09,few clouds
507,Hagere Selam,ET,6.48,38.52,49.12,100,94,2.15,overcast clouds
508,Vaasa,FI,63.1,21.62,53.01,93,61,3.36,broken clouds
509,Dunhua,CN,43.37,128.24,66.69,85,27,1.57,scattered clouds
510,Bereda,ES,43.27,-7.54,52.0,90,22,1.28,few clouds
511,Albury,AU,-36.08,146.92,51.01,93,20,3.36,few clouds
512,Whakatane,NZ,-37.96,176.99,64.0,63,71,5.01,broken clouds
513,Bombay,IN,19.01,72.85,77.0,100,90,12.86,moderate rain
514,Brezice,SI,45.9,15.59,75.0,73,4,3.36,clear sky
515,Bubaque,GW,11.28,-15.83,78.84,82,100,13.69,overcast clouds
516,Kuryk,KZ,43.2,51.65,71.31,80,0,7.96,clear sky
517,Samborondon,EC,-1.95,-79.73,84.2,62,75,5.82,broken clouds
518,Katastarion,GR,37.83,20.77,71.6,94,0,2.24,clear sky
519,Lorengau,PG,-2.02,147.27,84.7,70,83,11.65,broken clouds
520,Hays,US,30.05,-98.03,99.0,33,1,1.99,clear sky
521,Amnat Charoen,TH,15.86,104.63,77.95,86,87,5.1,overcast clouds
522,Mae Chan,TH,20.15,99.85,75.99,100,20,4.7,few clouds
523,Sitka,US,57.05,-135.33,57.2,82,75,4.7,broken clouds
524,Denia,ES,38.84,0.11,72.0,78,9,1.01,clear sky
525,Kuah,MY,6.33,99.84,80.6,94,53,3.36,broken clouds
526,Langa,DK,56.39,9.89,55.0,92,61,4.54,broken clouds
